X (cm),Y (cm),Adjusted Y (cm),start,end,A,damp_factor,omega,phi,c,d,stdev-A,stdev-damp,stdev-omega,stdev-phi,stdev-c,stdev-d
51.0,90.0,113.91234771086256,4.048,9.048,0.0010248820909943,0.1227852873733124,3.333007296610178,-0.0115069568761329,1.433258431315356,-6.53717822579017e-06,6.979571494568126e-07,0.0002776039433696,0.0003237988827888,0.0007835460581055,4.744686456258358e-07,1.1540404887993197e-07
51.5,33.0,54.06018272079614,3.478,8.478,0.0031812498616032,0.1196692611340786,4.330390017125121,-0.0121627317979382,1.3749722480933655,-4.33833581920915e-05,6.8918694566909e-07,8.965082571993447e-05,9.463902184163676e-05,0.0002335454525742,4.53962616764899e-07,1.1546064007554917e-07
51.8,22.0,46.6527283628108,9.0704,17.0704,0.0017436809259977,0.1254591262118207,4.526068403275063,-0.003244122776607128,1.368030898981972,-2.338497927600258e-05,9.54172054803694e-07,0.0001591736465076,0.000160242471989,0.0005593016680496,5.47149563098136e-07,8.641713393181849e-08
52.0,12.0,37.89894441001662,2.2,7.2,0.0009584863300949,-0.0161173052184292,5.023874154020647,-1.4659560649035355,1.3601265831664844,0.0001025250153876,1.118520536265566e-05,0.0039480120381569,0.0038481131917943,0.0112668650164391,7.992261540224064e-06,2.037693267215362e-06
52.0,4.0,28.07796638856248,5.948,10.948,0.0017842895181821,0.1431140518588708,5.185378630906511,-0.023007242126376948,1.3500726063492277,-2.395639836315176e-05,8.407574454470514e-07,0.0001973712609526,0.0002088610758781,0.0004917115812289,5.20020689472306e-07,1.3298800133950973e-07
64.0,44.0,46.490799233800914,3.1076,8.1076,0.0046233589443052,0.208671941661891,4.633757314784357,-0.0516911415015936,1.3799808264409896,-2.5761366419540048e-05,1.5205631372806651e-06,0.0001539017806095,0.0001676502368898,0.0003606152036382,9.061719197723226e-07,2.2692494099572598e-07
64.0,58.0,61.41291071902737,8.9288,16.9288,0.004293356516005,0.1932634334660591,4.322009821271433,0.06073304994190787,1.3945599621293985,-2.3915134162695748e-05,1.7470110092120894e-06,0.0001409095546691,0.0001471885028465,0.0004310816575895,9.249589981068362e-07,1.4346949238185729e-07
64.0,74.0,64.86398910142218,7.7964,12.7964,0.0047566039687693,0.1471100767211867,4.176560086611907,0.027134255305200305,1.3979818595958542,-2.677231751404994e-05,7.495524376123205e-07,6.901549379311146e-05,6.956490703994623e-05,0.0001679824623144,4.75578896199741e-07,1.1845076105287068e-07
64.0,80.0,81.40229997466267,7.6448,12.6448,0.0029361726330471,0.1819076483902143,3.9673870056485594,0.04299994546769925,1.4142492206383863,-9.547196176026164e-06,7.392600193661085e-07,0.0001128781558634,0.0001226288179013,0.0002755347628291,4.548596674191524e-07,1.1073873480341343e-07
64.5,12.0,16.603008772059624,2.4184,7.4184,0.0019714137732792,0.2204041967724594,5.644911076362937,-0.0223843601173412,1.3512973948468017,6.829409999180689e-06,8.724204659754533e-07,0.0002117593060298,0.0002234204899049,0.0004709596322565,5.071693500221713e-07,1.3026499280725848e-07
